Index,Date,Price,Type
0,2025-01-13,1226.4000244140625,Support
11,2025-01-28,1218.5,Support
23,2025-02-12,1193.3499755859375,Support
35,2025-03-03,1156.0,Support
58,2025-04-07,1114.8499755859375,Support
78,2025-05-09,1374.5,Support
87,2025-05-22,1396.9000244140625,Support
94,2025-06-02,1395.5999755859375,Support
103,2025-06-13,1414.300048828125,Support
123,2025-07-11,1490.300048828125,Support
4,2025-01-17,1326.0,Resistance
18,2025-02-05,1290.5,Resistance
30,2025-02-21,1240.0,Resistance
50,2025-03-25,1307.699951171875,Resistance
74,2025-05-05,1439.5,Resistance
82,2025-05-15,1461.4000244140625,Resistance
101,2025-06-11,1468.5999755859375,Resistance
121,2025-07-09,1551.0,Resistance
